Mountain Team,Valley Team,Mountain Score,Valley Score,Valley Win
ES South,Parkland,6,57,Y
ES South,Emmaus,19,62,Y
ES South,Easton,,,N/A
ES South,Dieruff,30,60,Y
ES South,Liberty,22,60,Y
ES South,Nazareth,19,80,Y
ES South,Whitehall,35,52,Y
ES South,Northampton,36,50,Y
ES South,Freedom,,,N/A
ES South,Beth Cath,14,30,Y
ES South,Wm Allen,,,N/A
ES South,AL Cent Cath,32,65,Y
PM West,Parkland,12,60,Y
PM West,Emmaus,,,N/A
PM West,Easton,,,N/A
PM West,Dieruff,15,57,Y
PM West,Liberty,31,68,Y
PM West,Nazareth,25,65,Y
PM West,Whitehall,,,N/A
PM West,Northampton,,,N/A
PM West,Freedom,29,56,Y
PM West,Beth Cath,17,67,Y
PM West,Wm Allen,,,N/A
PM West,AL Cent Cath,29,60,Y
ES North,Parkland,,,N/A
ES North,Emmaus,18,74,Y
ES North,Easton,11,100,Y
ES North,Dieruff,31,73,Y
ES North,Liberty,,,N/A
ES North,Nazareth,,,N/A
ES North,Whitehall,8,54,Y
ES North,Northampton,19,61,Y
ES North,Freedom,25,67,Y
ES North,Beth Cath,,,N/A
ES North,Wm Allen,28,51,Y
ES North,AL Cent Cath,,,N/A
PM East,Parkland,,,N/A
PM East,Emmaus,13,60,Y
PM East,Easton,27,78,Y
PM East,Dieruff,9,52,Y
PM East,Liberty,,,N/A
PM East,Nazareth,18,106,Y
PM East,Whitehall,14,48,Y
PM East,Northampton,31,46,Y
PM East,Freedom,18,60,Y
PM East,Beth Cath,,,N/A
PM East,Wm Allen,47,42,N
PM East,AL Cent Cath,,,N/A
Pleasant Valley,Parkland,13,48,Y
Pleasant Valley,Emmaus,,,N/A
Pleasant Valley,Easton,,,N/A
Pleasant Valley,Dieruff,13,53,Y
Pleasant Valley,Liberty,14,71,Y
Pleasant Valley,Nazareth,7,61,Y
Pleasant Valley,Whitehall,,,N/A
Pleasant Valley,Northampton,,,N/A
Pleasant Valley,Freedom,,,N/A
Pleasant Valley,Beth Cath,20,59,Y
Pleasant Valley,Wm Allen,,,N/A
Pleasant Valley,AL Cent Cath,24,62,Y
Stroudsburg,Parkland,6,56,Y
Stroudsburg,Emmaus,4,81,Y
Stroudsburg,Easton,11,73,Y
Stroudsburg,Dieruff,,,N/A
Stroudsburg,Liberty,24,70,Y
Stroudsburg,Nazareth,,,N/A
Stroudsburg,Whitehall,39,49,Y
Stroudsburg,Northampton,33,45,Y
Stroudsburg,Freedom,22,53,Y
Stroudsburg,Beth Cath,,,N/A
Stroudsburg,Wm Allen,29,51,Y
Stroudsburg,AL Cent Cath,,,N/A
